structure,mixingenergy
O96Ru45Pb2Ag1,-5.312
O96Ru45Pt2Re1,-0.643
O96Ru45Re2Tc1,-2.054
O96Ru45Tl2Hf1,5.360
O96Ru45W2Ta1,-4.239
O96Ru48,0.000
O96Sb1Ru43Zn2V2,-7.256
O96Sb1Ru43Zr1Zn3,-9.438
O96Sb1Ru44Ag2Cu1,-6.949
O96Sb1Ru44In1Rh2,-3.509
O96Sb1Ru44Pd2Y1,-4.555
O96Sb1Ru44Sn1Pd2,-1.841
O96Sb1Ru44Tc2Cu1,-3.722
O96Sb1Ru45Cd2,-6.399
O96Sb1Ru45Ga2,-3.176
O96Sb1Ru45Y2,-5.689
O96Sc1Ru42Co2Cr3,-3.607
O96Sc1Ru42Pd2V3,-4.964
O96Sc1Ru42Tc2Ga3,-7.522
O96Sc1Ru43Ga3Cu1,-6.672
O96Sc1Ru43Mo3Mn1,-3.926
O96Sc1Ru44Cu2Mn1,-7.286
O96Sc1Ru44Pd2Rh1,-3.392
O96Sc1Ru44Sn2Ga1,-3.171
O96Sc1Ru45Ge2,-2.638
O96Sc1Ru46Fe1,-2.976
O96Sn1Ru44Ta2Cu1,-6.658
O96Sn1Ru45Bi1Cu1,-3.929
O96Sn1Ru45Bi1Mn1,-1.862
O96Sn1Ru45Bi1V1,-3.526
O96Sn1Ru45Bi2,-3.319
O96Sn1Ru45Ta1V1,-3.455
O96Sn1Ru45Ta2,-3.706
O96Sn1Ru46Mn1,-0.969
O96Sn1Ru46Nb1,-1.940
O96Sn1Ru46Ta1,-2.481
O96Ta1Ru43Ag1Mo3,-6.617
O96Ta1Ru43Ge1Mn3,-2.403
O96Ta1Ru43Pb1Ge3,-3.288
O96Ta1Ru44Hf3,-0.396
O96Ta1Ru44Sn1Fe2,-1.941
O96Ta1Ru45Nb1Ni1,-4.826
O96Ta1Ru46Pb1,-2.468
O96Tc1Ru41Rh3Ge3,-0.437
O96Tc1Ru42Cd2Fe3,-6.802
O96Tc1Ru42Sb2Ti3,-0.852
O96Tc1Ru43Cr2V2,-1.116
O96Tc1Ru43Mo1Ge3,-0.923
O96Tc1Ru44Cd1Pd2,-4.047
O96Tc1Ru44Pd1Cu2,-2.984
O96Tc1Ru44Zn1Mn2,-3.510
O96Tc1Ru45Nb1Sc1,-2.324
O96Tc1Ru45Zr1Fe1,-1.115
